Symbol,Price,Shares
TSLA,197.93,2
CALI,1.20,6
NQ,3.91,1
JD,20.77,234
GPRO,14.46,11
AMD,4.65,1
VNET,11.63,1
NCTY,1.74,1
QUNR,28.71,1
MCRB,9.49,1
CAAS,3.59,1
PTGX,11.57,1
